Frame,Predicted_Age,True_Age,Predicted_Gender,True_Gender,Predicted_Emotion,True_Emotion,Predicted_Race,True_Race,Age_Correct,Gender_Correct,Emotion_Correct,Race_Correct
4,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
8,32,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
452,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
472,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
496,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
520,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
540,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
560,30,30,Man,Man,happy,neutral,asian,asian,True,True,False,True
580,30,30,Man,Man,neutral,neutral,asian,asian,True,True,True,True
604,31,30,Man,Man,neutral,neutral,asian,asian,False,True,True,True
624,31,30,Man,Man,neutral,neutral,asian,asian,False,True,True,True
644,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
668,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
688,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
712,31,30,Man,Man,neutral,neutral,asian,asian,False,True,True,True
732,31,30,Man,Man,neutral,neutral,asian,asian,False,True,True,True
752,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
776,32,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
796,32,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
816,32,30,Man,Man,happy,neutral,white,asian,False,True,False,False
840,32,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
860,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
880,32,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
904,32,30,Man,Man,fear,neutral,asian,asian,False,True,False,True
924,31,30,Man,Man,fear,neutral,asian,asian,False,True,False,True
944,31,30,Man,Man,fear,neutral,asian,asian,False,True,False,True
964,31,30,Man,Man,fear,neutral,asian,asian,False,True,False,True
988,32,30,Man,Man,fear,neutral,asian,asian,False,True,False,True
1012,32,30,Man,Man,fear,neutral,asian,asian,False,True,False,True
1032,31,30,Man,Man,fear,neutral,asian,asian,False,True,False,True
1056,31,30,Man,Man,fear,neutral,asian,asian,False,True,False,True
1076,31,30,Man,Man,fear,neutral,asian,asian,False,True,False,True
1100,31,30,Man,Man,happy,neutral,indian,asian,False,True,False,False
1120,31,30,Man,Man,happy,neutral,indian,asian,False,True,False,False
1140,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
1164,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
1184,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
1204,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
1228,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
1248,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
1268,32,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
1292,32,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
1312,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
1332,31,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
1352,32,30,Man,Man,happy,neutral,asian,asian,False,True,False,True
